file,folder,trained,date,size_mb,what_varied,documented_result,duplicate_of_models_copy,gold_acc,gold_macro_f1,gold_feed_recall,gold_nonfeed_recall,gold_feed_precision,gold_label_flip,gold_cm,bimby2024_acc,bimby2024_macro_f1,bimby2024_feed_recall,bimby2024_nonfeed_recall,bimby2024_feed_precision,bimby2024_label_flip,bimby2024_cm,error,note
FINAL_Real_Feeding_unfrozen_xval_augmented.keras,models,2025 final,2026-08-25,296.0,"real+super, unfrozen conv5, 5-fold xval checkpoint (best val_loss)",,False,0.7952,0.7939,0.7385,0.8488,0.822,False,"[[1584, 561], [343, 1925]]",0.7973,0.7909,0.766,0.8518,0.8998,False,"[[2992, 914], [333, 1914]]",,
Final_feeding_model_ALL.keras,models,2025 final,2025-08-04,296.0,"all images (real+super), head-only (frozen base)",,False,0.7462,0.7365,0.9646,0.5397,0.6646,False,"[[2069, 76], [1044, 1224]]",0.8079,0.769,0.9595,0.5443,0.7854,False,"[[3748, 158], [1024, 1223]]",,
Final_feeding_model_ALL_unfrozen.keras,models,2025 final,2025-08-04,227.5,"all images (real+super), unfrozen conv5",,False,0.8593,0.8589,0.9399,0.7831,0.8038,False,"[[2016, 129], [492, 1776]]",0.8713,0.8587,0.9209,0.785,0.8816,False,"[[3597, 309], [483, 1764]]",,
REAL_AND_SUPER_Final_feeding_model_unfrozen.keras,models,2025 final (PRODUCTION),2026-08-25,227.5,"real+super, unfrozen conv5 — the model the monarch pipeline loads","BIMBY-2024 gold: acc 85.4%, macro-F1 0.850 (the ""augmented"" run)",False,0.8466,0.8463,0.827,0.8651,0.8529,False,"[[1774, 371], [306, 1962]]",0.83,0.8232,0.8082,0.8678,0.914,False,"[[3157, 749], [297, 1950]]",,
REAL_ONLY_Final_feeding_model_unfrozen.keras,models,2025 final,2026-08-25,227.5,"real images only, unfrozen conv5","BIMBY-2024 gold: acc 80.4%, macro-F1 ~0.80 (the ""baseline"" run)",False,0.8629,0.8629,0.8904,0.8369,0.8377,False,"[[1910, 235], [370, 1898]]",0.8628,0.8537,0.8763,0.8393,0.9046,False,"[[3423, 483], [361, 1886]]",,
Real_Feeding_frozen_xval.keras,models,2025 May,2025-04-30,107.6,"real only, frozen base (head only), 5-fold xval",,False,0.8835,0.8835,0.896,0.8717,0.8685,False,"[[1922, 223], [291, 1977]]",0.851,0.8439,0.8374,0.8745,0.9206,False,"[[3271, 635], [282, 1965]]",,
Real_Feeding_unfrozen_noxval.keras,models,2025 May,2025-04-30,227.4,"real only, unfrozen conv5, single 80/20 split",,False,0.8681,0.8677,0.951,0.7897,0.8105,False,"[[2040, 105], [477, 1791]]",0.8809,0.8689,0.9314,0.7931,0.8867,False,"[[3638, 268], [465, 1782]]",,
Real_Feeding_unfrozen_xval.keras,models,2025 May,2025-05-02,227.4,"real only, unfrozen conv5, 5-fold xval",,False,0.8679,0.8676,0.842,0.8924,0.881,False,"[[1806, 339], [244, 2024]]",0.85,0.844,0.8241,0.895,0.9317,False,"[[3219, 687], [236, 2011]]",,
Real_Feeding_frozen_xval.keras,Final_Feeding_Images,2025 May,2025-04-30,107.6,"real only, frozen base (head only), 5-fold xval",,True,0.8835,0.8835,0.896,0.8717,0.8685,False,"[[1922, 223], [291, 1977]]",0.851,0.8439,0.8374,0.8745,0.9206,False,"[[3271, 635], [282, 1965]]",,reused (duplicate file)
Real_Feeding_unfrozen_noxval.keras,Final_Feeding_Images,2025 May,2025-04-30,227.4,"real only, unfrozen conv5, single 80/20 split",,True,0.8681,0.8677,0.951,0.7897,0.8105,False,"[[2040, 105], [477, 1791]]",0.8809,0.8689,0.9314,0.7931,0.8867,False,"[[3638, 268], [465, 1782]]",,reused (duplicate file)
